Code,Description,Work Type,Labor Hours,FRT
10101802,Body Reinforcement - Floor - 2nd Row (Remove & Replace),Remove and Replace,0.9,0.9
10101802002,ASSEMBLY - REAR PANEL COMPLETE,Remove and Replace,5.04,5.04
10101802102,ASSEMBLY - REAR TORQUE BOX INNER - LEFT HAND,Remove and Replace,18.4,18.4
10101802202,Second Row Seat Belt Anchor Reinforcement RIGHT,Remove and Replace,1.98,1.98
10101802302,ASSEMBLY - REAR TORQUE BOX INNER - RIGHT HAND,Remove and Replace,18.4,18.4
10101802402,Second Row Seat Belt Anchor Reinforcement LEFT,Remove and Replace,1.98,1.98
10101802502,PANEL - REAR RAIL LOWER REINFORCEMENT - LEFT,Remove and Replace,29.9,29.9
10101802702,PANEL - TRUNK FLOOR EXTENSION - LEFT,Remove and Replace,3.66,3.66
10101802902,REAR RAIL GLOVE UPPER - LEFT,Remove and Replace,10.7,10.7
10101803202,REAR RAIL GLOVE UPPER - RIGHT,Remove and Replace,10.7,10.7
10101810722,Rear Quarter Outer (Lower) LH Replacement And Paint - Painting-CN Only,Paint Work,0.96,0.96
10101810822,Rear Quarter Outer (Lower) LH Replacement And Paint - Polishing-CN Only,Paint Work,0.06,0.06
10101810922,Rear Quarter Outer (Lower) RH Replacement And Paint - Sealer Spray-CN Only,Paint Work,0.53,0.53
10101811022,Rear Quarter Outer (Lower) RH Replacement And Paint - Painting-CN Only,Paint Work,0.96,0.96
10101811122,Rear Quarter Outer (Lower) RH Replacement And Paint - Polishing-CN Only,Paint Work,0.06,0.06
10101811802,PANEL - REAR RAIL LOWER REINFORCEMENT - RIGHT,Remove and Replace,29.9,29.9
10101812022,Rear Quarter Outer (Lower) LH Replacement And Paint-CN Only,Paint Work,2.99,2.99
10101812122,Rear Quarter Outer (Lower) RH Replacement And Paint-CN Only,Paint Work,2.99,2.99
10101812602,Rear Frame Rail Assembly,Remove and Replace,16.9,16.9
10101812802,ASSEMBLY - CHARGE PORT HOUSING,Remove and Replace,1.68,1.68
