id,code,name,workType,modelID,modelName,frt,chargedHours,procedureURL
37396,10011160,Quarter Outer Skin RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,0.47,0.47,
37397,10011161,Quarter Outer Skin RH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.48,0.48,
37398,10011162,Quarter Outer Skin RH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.47,0.47,
37399,10011163,Quarter Outer Skin RH Removal Refit And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.84,0.84,
37400,10011164,Quarter Outer Skin RH Removal Refit And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.58,0.58,
37401,10011165,Trunk Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,5.26,5.26,
37402,10011166,Trunk Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,36,2025+ Model Y,2.55,2.55,
37403,10011167,Trunk Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.63,0.63,
37404,10011168,Trunk Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.6,0.6,
37405,10011169,Trunk Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.7,0.7,
37406,10011170,Trunk Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.48,0.48,
37407,10011171,Trunk Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,3.71,3.71,
37408,10011172,Trunk Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,1.09,1.09,
37409,10011173,Trunk Removal Refit And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.44,0.44,
37410,10011174,Trunk Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.43,0.43,
37411,10011175,Trunk Removal Refit And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.73,0.73,
37412,10011176,Trunk Removal Refit And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.5,0.5,
37348,10011189,Fascia Front Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.38,0.38,
37358,10011190,Fender Assembly Front LH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,0.96,0.96,
37371,10011191,Fender Assembly Front RH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.37,0.37,
37372,10011192,Fender Assembly Front RH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.36,0.36,
37900,10011193,Hood Assembly Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.73,0.73,
37903,10011194,Hood Assembly Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,2.95,2.95,
37807,10011195,Hood Assembly Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,0.25,0.25,
37923,10011196,Front Door RH Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.64,0.64,
37924,10011197,Front Door RH Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.44,0.44,
37381,10011199,Putty filler (S)-CN Only,Refinish,36,2025+ Model Y,0.52,0.52,
37413,10011200,Putty filler (M)-CN Only,Refinish,36,2025+ Model Y,1.13,1.13,
37432,10011203,Trunk Replacement And Paint - Glass Incl. Disassembly & Install-CN Only,Remove and Install,36,2025+ Model Y,0.3,0.3,
37433,10011204,LH corner of the rear fascia Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,2.08,2.08,
37434,10011205,LH corner of the rear fascia Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,36,2025+ Model Y,0.4,0.4,
37435,10011206,LH corner of the rear fascia Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.44,0.44,
37436,10011207,LH corner of the rear fascia Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.42,0.42,
37437,10011208,LH corner of the rear fascia Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.49,0.49,
37438,10011209,LH corner of the rear fascia Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.34,0.34,
37439,10011210,LH corner of the rear fascia Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,1.96,1.96,
37440,10011213,LH corner of the rear fascia Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,0.4,0.4,
37441,10011214,LH corner of the rear fascia Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.18,0.18,
37442,10011215,LH corner of the rear fascia Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.17,0.17,
37443,10011216,LH corner of the rear fascia Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.41,0.41,
37444,10011217,LH corner of the rear fascia Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.28,0.28,
37445,10011218,RH corner of the rear fascia Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,2.08,2.08,
37446,10011219,RH corner of the rear fascia Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,36,2025+ Model Y,0.4,0.4,
37447,10011220,RH corner of the rear fascia Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.44,0.44,
37448,10011221,RH corner of the rear fascia Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.42,0.42,
37449,10011222,RH corner of the rear fascia Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.49,0.49,
37450,10011223,RH corner of the rear fascia Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.34,0.34,
37451,10011224,RH corner of the rear fascia Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,1.96,1.96,
37452,10011225,RH corner of the rear fascia Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,0.4,0.4,
37453,10011226,RH corner of the rear fascia Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.18,0.18,
37454,10011227,RH corner of the rear fascia Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.17,0.17,
37455,10011228,RH corner of the rear fascia Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.41,0.41,
