Code,Description,Work Type,Labor Hours,FRT
33011702,Shield - Dust - Brake - Front - RH (Remove & Replace),Remove and Replace,0.6,0.6
33011801,Shield - Dust - Brake - Rear - LH (Remove & Install),Remove and Install,0.84,0.84
33011802,Shield - Dust - Brake - Rear - LH (Remove & Replace),Remove and Replace,0.84,0.84
33011806,Shield - Dust - Brake - Rear - LH/RH,Retrofit,1.56,1.56
33011901,Shield - Dust - Brake - Rear - RH (Remove & Install),Remove and Install,0.7,0.7
33011902,Shield - Dust - Brake - Rear - RH (Remove & Replace),Remove and Replace,0.84,0.84
33012006,Shield - Dust - Brake - Front - 2nd Generation (Retrofit),Retrofit,1.08,1.08
33013000,Brake Pads - Burnishing (Conventional Brakes),Maintenance,0.3,0.3
33013010,Brake Pads -  Burnishing (Carbon Ceramic Brakes),Maintenance,1.0,1.0
33013101,Rigid Pipe - Brake Caliper - Front - LH (Remove & Install),Remove and Install,0.75,0.75
33013102,Rigid Pipe - Brake Caliper - Front - LH (Remove & Replace),Remove and Replace,0.9,0.9
33013201,Rigid Pipe - Brake Caliper - Front - RH (Remove & Install),Remove and Install,0.75,0.75
33013202,Rigid Pipe - Brake Caliper - Front - RH (Remove & Replace),Remove and Replace,0.9,0.9
33013325,Clean And Lubricate Brake Calipers (Integrated Parking Brake) (Requires Code 34012501),Maintenance,0.96,0.96
33014101,Rigid Pipe - Brake Caliper - Rear - LH (Remove & Install),Remove and Install,0.75,0.75
33014102,Rigid Pipe - Brake Caliper - Rear - LH (Remove & Replace),Remove and Replace,0.9,0.9
33014201,Rigid Pipe - Brake Caliper - Rear - RH (Remove & Install),Remove and Install,0.75,0.75
33014202,Rigid Pipe - Brake Caliper - Rear - RH (Remove & Replace),Remove and Replace,0.9,0.9
33015090,Brake Pads and Rotors - Inspection,Test/Adjust,0.3,0.3
33030001,Brake Hose - Flexible - Rear - RH (Add Brake Fluid 1060099-00A if Needed) (Remove and Install),Remove and Install,0.4,0.4
33030002,Brake Hose - Flexible - Rear - RH (Remove and Replace) (Add Brake Fluid 1060099-00A if Needed),Remove and Replace,0.54,0.54
33030011,Pipe Assembly - Front - Brake (Remove & Install),Remove and Install,2.35,2.35
33030012,Pipe Assembly - Front - Brake (Remove & Replace),Remove and Replace,2.82,2.82
33030021,Pipe - Brake Junction to Jounce - RH (Remove & Install),Remove and Install,2.3,2.3
33030022,Pipe - Brake Junction to Jounce - RH (Remove & Replace),Remove and Replace,2.88,2.88
33030051,Pipe - Brake Junction to Jounce - LH (Remove & Install),Remove and Install,1.55,1.55
33030052,Pipe - Brake Junction to Jounce - LH (Remove & Replace),Remove and Replace,2.04,2.04
33030201,Brake Hose - Flexible - Front - RH (Remove & Install),Remove and Install,0.45,0.45
33030202,Brake Hose - Flexible - Front - RH (Remove & Replace),Remove and Replace,0.54,0.54
33030301,Brake Hose - Flexible - Front - LH (Remove & Install),Remove and Install,0.54,0.54
33030302,Brake Hose - Flexible - Front - LH (Remove & Replace),Remove and Replace,0.54,0.54
33030401,Brake Hose - Flexible - Rear - RH (Remove & Install),Remove and Install,0.4,0.4
33030402,Brake Hose - Flexible - Rear - RH (Remove & Replace),Remove and Replace,0.48,0.48
33030501,Brake Hose - Flexible - Rear - LH (Add Brake Fluid 1060099-00A if Needed) (Remove & Install),Remove and Install,0.4,0.4
33030502,Brake Hose - Flexible - Rear - LH (Remove & Replace) (Add Brake Fluid 1060099-00A if Needed),Remove and Replace,0.54,0.54
33031101,Brake Fluid Bleed - One Caliper (Remove & Install),Remove and Install,0.35,0.35
33031102,Brake Fluid Bleed - One Caliper (Remove & Replace),Remove and Replace,0.42,0.42
33031200,Brake Fluid Check,Test/Adjust,0.12,0.12
33031202,Brake Fluid Bleed/Flush,Maintenance,0.78,0.78
33031205,Brake Bleeder Machine (Flush),Maintenance,0.06,0.06
33031701,Pipe Assembly - ABS to LH Sill Pipes (Remove & Install),Remove and Install,2.05,2.05
33031702,Pipe Assembly - ABS to LH Sill Pipes (Remove & Replace),Remove and Replace,2.46,2.46
33032001,Pipe Assembly - ABS to RH Sill Pipes (Remove and Install),Remove and Install,2.05,2.05
33032002,Pipe Assembly - ABS to RH Sill Pipes (Remove and Replace),Remove and Replace,2.46,2.46
33033101,Brake Line - Junction Block to Rear Wheels (Remove & Install),Remove and Install,6.2,6.2
33033102,Brake Line - Junction Block to Rear Wheels (Remove & Replace),Remove and Replace,7.2,7.2
33033501,Brake Line - ABS to Front Wheels and Junction Block (RWD) (Remove & Install),Remove and Install,2.95,2.95
33033502,Brake Line - ABS to Front Wheels and Junction Block (RWD) (Remove & Replace),Remove and Replace,3.54,3.54
33033601,Brake Line - ABS to Front Wheels and Junction Block (Dual Motor) (Remove & Install),Remove and Install,3.35,3.35
33033602,Brake Line - ABS to Front Wheels and Junction Block (Dual Motor) (Remove & Replace),Remove and Replace,4.02,4.02
33034001,Brake Line - Master Cylinder to ABS (RWD) (Remove & Install),Remove and Install,2.46,2.46
33034002,Brake Line - Master Cylinder to ABS (RWD) (Remove & Replace),Remove and Replace,2.64,2.64
33034101,Brake Line - Master Cylinder to ABS (Dual Motor) (Remove & Install),Remove and Install,1.6,1.6
33034102,Brake Line - Master Cylinder to ABS (Dual Motor) (Remove & Replace),Remove and Replace,1.92,1.92
33034201,Brake Lines - Master Cylinder to ABS (RHD) (Remove & Install),Remove and Install,2.28,2.28
33034202,Brake Lines - Master Cylinder to ABS (RHD) (Remove & Replace),Remove and Replace,2.28,2.28
